TLS Client Devices,Devices that initiate encrypted traffic. These TLS client devices are likely to be located outside of the data center.,Supports (example of) SC-8: Transmission Confidentiality and Integrity,The TLS client devices use TLS 1.3 to provide cryptographic protection to data-in-transit.
Network Tap ,Component that provides a copy of traffic from a network segment.,Is supported by (precedes) AC-2: Account Management,"Accessing tapped network data requires that the organization have defined and documented the types of accounts allowed access to the tapped information; assigned account managers; have identified and applied role-based criteria for individual and group access, continuously monitor use of the account(s); notify account managers and specified staff within an organization-defined time period when accounts are no longer required when users are terminated or transferred, and notify account managers and specified staff within an organization-defined time period when system usage or need-to-know changes for an individual; and authorize access to the system based on: a valid access authorization and Intended system usage. "
,,Is supported by (integral to) AC-4: Access Enforcement,Enforcement implements approved authorization policies for logical access to information and system resources in accordance with applicable access control policies.
,,Is supported by (integral to) IA-2: Identification and Authentication (Organizational Users),"Unique identification and authentication of users is applied to all having access to tapped information except for the authorized use of group authenticators without individual authentication. Since processes execute on behalf of groups and roles, organizations may require unique identification of individuals in group accounts or for detailed accountability of individual activity. Note that the use of encrypted virtual private networks for network connections between organization-controlled endpoints and non-organization-controlled endpoints may be treated as internal networks with respect to protecting the confidentiality and integrity of information traversing the network."
,,Is supported by (integral to) IA-4: Identifier Management ,"Authorization for access to (e.g., configuration of) and connections to a network tap must require receipt of authorization from an organization-defined person or role to assign an individual, group, role, service, or device identifier; selection of an identifier that identifies an individual, group, role, service, or device; and assignment of the identifier to the intended individual, group, role, service, or device."
,,Supports (integral to) CA-7: Continuous Monitoring,"In the passive inspection architectures, the network tap diverts TLS 1.3-protected traffic to analytic platforms that are used to conduct continuous monitoring."
,,Supports (integral to) SI-4: System Monitoring,"In the passive inspection architectures, the network tap diverts TLS 1.3-protected traffic to invoke internal monitoring and analysis for attacks and indicators of potential attacks, unauthorized local, network, and remote connections, unauthorized use of the system, and analysis of detected events and anomalies."
Middlebox - Break and Inspect Component,"Component that terminates, decrypts, and re-encrypts/reinitiates traffic.",Is supported by (precedes) AC-2: Account Management ,The organization must establish monitoring and analysis roles that are authorized access to the middlebox processes and information associated with inspection and analysis of TLS traffic to configure system access controls. The authorized roles must be consistent with internal information protection policies and agreements with external partners. 
,,Is supported by (integral to) AC-4: Access Enforcement,Enforcement implements approved authorization policies for logical access to information and system resources in accordance with applicable access control policies.
,,Is supported by (integral to) AC-6: Least Privilege.,"The middlebox is capable of being used as an unauthorized man-in-the-middle. As such, the principle of least privilege is essential to the integrity of the TLS protections."
,,Is supported by (integral to) AC-17: Remote Access,"The middlebox is capable of being used as an unauthorized man-in-the-middle. As such, control of remote access to this element is security critical. This includes establishing and documenting usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed and authorizing each type of remote access to the system prior to allowing such connections."
,,Is supported by (integral to) IA-2: Identification and Authentication (Organizational Users),"Unique identification and authentication of users is applied to all having access to break and inspect functionality except for the authorized use of group authenticators without individual authentication. Since processes execute on behalf of groups and roles, organizations may require unique identification of individuals in group accounts or for detailed accountability of individual activity. Note that the use of encrypted virtual private networks for network connections between organization-controlled endpoints and non-organization-controlled endpoints may be treated as internal networks with respect to protecting the confidentiality and integrity of information traversing the network."
