TLS Client Devices,Devices that initiate encrypted traffic. These TLS client devices are likely to be located outside of the data center.,"Is supported by (example of) PR.DS-02: The confidentiality, integrity, and availability of data-in-transit are protected",The TLS client devices use TLS 1.3 to provide cryptographic protection to data-in-transit.
Network Tap ,Component that provides a copy of traffic from a network segment.,"Is supported by (precedes) PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization. ","Authorization for access to (e.g., configuration of) and connections to a network tap must require credentialling and authorization of the responsible staff."
,,Is supported by PR.AA-02: Identities are proofed and bound to credentials based on the context of interactions.,"Authorization for access to (e.g., configuration of) and connections to a network tap must require credentialling and authorization of the responsible staff."
,,Supports (integral to) DE.CM-01: Networks and network services are monitored to find potentially adverse events.,"In the passive inspection architectures, the network tap diverts TLS 1.3-protected traffic for analysis."
Middlebox - Break and Inspect Component,"Component that terminates, decrypts, and re-encrypts/reinitiates traffic.","Is supported by (precedes) GV.RR-02: Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced",The organization must establish monitoring and analysis roles that are authorized access to the middlebox processes and information associated with inspection and analysis of TLS traffic in order to configure system access controls. The authorized roles must be consistent with internal information protection policies and agreements with external partners.
,,"Is supported by (precedes) PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization.","Authorization for access to (e.g., configuration of) and connections to middleboxes must require prior credentialling and authorization of the responsible staff."
,,"Is supported by (integral to) PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk.","The middlebox is a security-critical element capable of being used as an unauthorized man-in-the-middle. As such, physical access to this element must be managed and protected to protect against exploitation."
,,"Is supported by (integral to) PR.AA-03: Users, services, and hardware are authenticated","The middlebox is capable of being used as an unauthorized man-in-the-middle. As such, authenticated control of access to this element is security critical."
,,"Is supported by (integral to) PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties.","The middlebox is capable of being used as an unauthorized man-in-the-middle. As such, the principle of least privilege is essential to the integrity of the TLS protections."
,,"Supports (example of) PR.DS-02: The confidentiality, integrity, and availability of data-in-transit are protected",The break and inspect middlebox re-encrypts the traffic to provide cryptographic protection to data-in-transit within the data center.
,,Supports (integral to) DE.CM-01: Networks and network services are monitored to find potentially adverse events.,The break and inspect middlebox permits continuous network monitoring monitored to detect potential cybersecurity events by decrypting and forwarding traffic re-encrypted by data center keys to real time and post facto analysis platforms. 
Real Time Analytics Platform ,"Set of tools for examining unencrypted payloads to identify undesired characteristics such as identification of causes of network or applications performance degradation or failures, key management-based communications failures, detection and identification of anomalous received data, identification of sources of anomalous data, and detection of traffic from unauthorized sources), and identification of legitimate enterprise data being exfiltrated to anomalous destinations.","Is supported by (precedes) GV.PO-01: Organizational cybersecurity policy is established, communicated, and enforced. Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced",Organizational security policy is prerequisite to determining authorized vs unauthorized data sources and destinations.
,,"Is supported by (precedes) PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization.",Authorization for access to the analytics platform(s) must require prior credentialling and authorization of the responsible staff.
,,"Is supported by (integral to) PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk.",The real time analytics platform processes potentially sensitive decrypted TLS traffic.
,,Is supported by (integral to) PR.IR-01: Networks and environments are protected from unauthorized logical access and usage.,The real time analytics platform processes potentially sensitive decrypted TLS traffic.
,,Supports (example of ) ID.RA-03: Internal and external threats to the organization are identified and recorded.,"Detection and identification of anomalous received data, identification of sources of anomalous data, and detection of traffic from unauthorized sources contribute to identification of new threats."
,,Supports (example of) ID.RA-10: Critical suppliers are assessed prior to acquisition.,Information discovered in the course of analytics contributes to audit and evaluation of connected business partners for conformance with contractual data security obligations.
,,"Is supported by (integral to) PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties.",The real time analytics platform accesses a variety of potentially sensitive unencrypted payloads in large quantities. Only personnel having duties specifically authorizing access to the payloads may have access permission. 
